,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year
16,1.08,6681646.14,2501655.4,2179345.27,107653.45,1892992.02,1819641.81,47476.91,25873.3,conventional,2016
17,0.99,6696300.05,2683109.8,1878139.55,133979.15,2001071.55,1924479.53,46601.83,29990.19,conventional,2016
18,1.05,6308000.34,2646367.78,1712067.2,171379.36,1778186,1679257.49,61139.96,37788.55,conventional,2016
19,1.07,6538335.89,2200099.61,2538994.07,218247.48,1580994.73,1476927.5,73032.78,31034.45,conventional,2016
20,1.17,6144827.51,2152079.32,2039791.18,211671.11,1741285.9,1616257.39,89290.29,35738.22,conventional,2016
21,1.22,5947160.29,1922055.35,2069409.78,244730.21,1710964.95,1581210.71,95425.63,34328.61,conventional,2016
22,1.2,6104047.38,2019596.6,2147541.33,302735.37,1634174.08,1526433.58,82025.57,25714.93,conventional,2016
23,1.14,6200613.68,2196723.33,2037093.61,278664.44,1688132.3,1563978.55,97434.91,26718.84,conventional,2016
24,1.08,6721690.88,2399360.67,2117397.07,292540.95,1912392.19,1771309.82,107540.46,33541.91,conventional,2016
25,1.1,7087455.16,2409025.69,2439611.73,356022.1,1882795.64,1722082.22,119871.18,40842.24,conventional,2016
26,1.03,6407277.49,2333532.13,1967324.63,328206.37,1778214.36,1641400.92,107903.9,28909.54,conventional,2016
27,1.06,6528056.18,2409003,2045112.18,319711.53,1754229.47,1622056.72,101882.82,30289.93,conventional,2016
28,1.01,6506234.86,2597934.17,1869930.06,328653.8,1709716.83,1571460.04,110755.4,27501.39,conventional,2016
29,0.94,7365675.31,2921963.17,2131717.34,373358.37,1938636.43,1739147.58,171241.77,28247.08,conventional,2016
30,0.98,6700986.44,2522305.33,2097509.45,341992.36,1739179.3,1546212.08,160781.09,32186.13,conventional,2016
31,0.9,6501981.08,2238875.14,2178820.82,329737.94,1754547.18,1594507.01,129666.02,30374.15,conventional,2016
32,0.97,6068872.71,2247484.21,1968268.95,353196.44,1499923.11,1325206.1,155366.22,19350.79,conventional,2016
33,0.79,7808461.74,2716222.01,2615648.28,336387.9,2140203.55,1606311.87,508755.56,25136.12,conventional,2016
34,0.75,7661483.37,2817406.2,2628579.48,291448.73,1924048.96,1421239.87,485685.06,17124.03,conventional,2016
35,0.84,6933382.4,2507347.38,2355998.94,325242.94,1744793.14,1467255.26,257014.51,20523.37,conventional,2016
36,0.93,6397813.48,2370403.05,1875909.98,382295.13,1769205.32,1659337.91,88790.8,21076.61,conventional,2016
37,0.94,6509000.56,2248561.59,1958358.83,358015.82,1944064.32,1740557.05,183825.53,19681.74,conventional,2016
38,0.93,6060843.76,1805555.95,2247248.19,334735.17,1673304.45,1454479.46,201547.46,17277.53,conventional,2016
39,0.93,6603707.93,1935666.12,2149391.86,311356.91,2207293.04,1926353.76,259874.87,21064.41,conventional,2016
40,0.91,6476206.54,1893617.8,2191468.26,299002.93,2092117.55,1883192.26,189928.31,18996.98,conventional,2016
41,0.96,6017563.88,1750943.52,1855262.7,317337.27,2094020.39,1888085.99,186807.69,19126.71,conventional,2016
42,0.92,6429870.23,1893787.2,1975668.02,325582.2,2234832.81,1981931.04,230048.66,22853.11,conventional,2016
43,0.89,6588277.7,1873878.11,2020327.87,302210.56,2391861.16,2091747.51,282242.79,17870.86,conventional,2016
44,0.89,6374019.03,1776499,2073957.12,267508.94,2256053.97,2073467.05,167309.24,15277.68,conventional,2016
45,0.82,6807283.15,1998149.71,1974912.11,278558.48,2555662.85,2207054.69,333029.79,15578.37,conventional,2016
46,0.7,10361698.17,2930343.28,3950852.38,424389.6,3056112.91,2693843.02,344774.59,17495.3,conventional,2016
47,0.88,6506673.96,2126066.85,2069192.92,287234.03,2024180.16,1874982.24,134692.75,14505.17,conventional,2016
48,0.88,6246380.73,1230068.19,2457751.77,272665.17,2285895.6,2122673.09,147881.99,15340.52,conventional,2016
49,0.9,6000013.23,1653347.69,2336705.19,250106.17,1759854.18,1579233.6,162289.68,18330.9,conventional,2016
50,0.87,6303406.82,1736168.01,2173554.18,261931.07,2131753.56,1793640.16,321613.97,16499.43,conventional,2016
51,0.73,7730431.28,2315175.35,2856102.41,257268.16,2301885.36,1950428.5,340852.13,10604.73,conventional,2016
0,1.25,155793.03,36125.58,50792.48,7324.64,61550.33,51247.91,10232.98,69.44,conventional,2016
1,1.24,144634.01,35761.88,46276.63,7942.68,54652.82,44604.56,10048.26,0,conventional,2016
2,1.33,145815.04,43744.87,40971.14,8696.54,52402.49,46293.11,6109.38,0,conventional,2016
3,1.34,154742.81,39221.82,46285.9,9451.98,59783.11,48016.74,11766.37,0,conventional,2016
4,1.54,131453.85,38976.01,34346.09,8265.03,49866.72,44005.31,5861.41,0,conventional,2016
5,1.57,135608.11,44044.69,28907.47,13913.04,48742.91,42721.62,6021.29,0,conventional,2016
6,1.64,144089.12,49399.39,26597.39,22714.68,45377.66,38436.79,6940.87,0,conventional,2016
7,1.57,142095.92,36840.74,27501.34,25305.86,52447.98,45861.67,6586.31,0,conventional,2016
8,1.58,142955.49,39376.44,29382.3,26881.22,47315.53,40258.68,6816.57,240.28,conventional,2016
9,1.52,167741.27,54981.9,39749.81,20290.31,52719.25,47060.46,5658.79,0,conventional,2016
10,1.39,190846.01,57529.11,56366.66,17531.78,59418.46,48823.53,10354.65,240.28,conventional,2016
11,1.51,178235.75,43325.87,52189.61,19419.57,63300.7,54704.14,8596.56,0,conventional,2016
12,1.48,178410.82,46364.75,52893.38,16736.92,62415.77,53332.61,8258.16,825,conventional,2016
13,1.47,189131.52,54110.79,53593.58,17495.42,63931.73,55653.47,8278.26,0,conventional,2016
14,1.43,182978.3,43116.41,54193.42,16563.91,69104.56,57456.21,11648.35,0,conventional,2016
15,1.42,180989.26,34440.65,59554.19,17914.48,69079.94,61214.7,7860.24,5,conventional,2016
16,1.33,204963.95,58888.34,56699.56,18659.47,70716.58,62373.15,7805.93,537.5,conventional,2016
17,1.4,187984.8,54874.64,57122.52,15013.36,60974.28,58688.03,1906.25,380,conventional,2016
18,1.38,193592.65,44006.63,62975.71,20731.35,65878.96,64095.85,1628.11,155,conventional,2016
19,1.4,195250.96,39823.56,66724.29,23025.36,65677.75,60859.82,4817.93,0,conventional,2016
20,1.43,196381.45,48639.95,64124.89,24178.25,59438.36,55636.32,3787.04,15,conventional,2016
21,1.48,187969.31,39819.93,68964.23,24742.11,54443.04,50677.92,3330.12,435,conventional,2016
22,1.46,193909.36,34250.27,68516.18,26839.41,64303.5,57524.85,3346.43,3432.22,conventional,2016
23,1.43,196466.9,38199.33,69125.35,25756.96,63385.26,58481.31,3223.95,1680,conventional,2016
24,1.26,233262.16,43387.69,79103.57,40460.56,70310.34,62603.71,4548.85,3157.78,conventional,2016
25,1.2,233543.59,45220.67,72710.08,40378.07,75234.77,64809.58,8290.19,2135,conventional,2016
26,1.28,200520.74,36686.02,68054.14,39268.75,56511.83,52290.98,3210.85,1010,conventional,2016
27,1.21,238720.78,55097.56,77704.63,46282.1,59636.49,52830.72,4841.6,1964.17,conventional,2016
28,1.25,209095.62,42196.82,74895.5,46176.97,45826.33,40822.06,3825.94,1178.33,conventional,2016
29,1.25,209797.27,37431.02,77700.5,41412.18,53253.57,45859.12,6333.06,1061.39,conventional,2016
30,1.21,235009.02,49747.65,92110.53,41274.31,51876.53,45120.69,6510.84,245,conventional,2016
31,1.26,203492.89,37008.26,95769.19,20859.76,49855.68,45579.73,3940.95,335,conventional,2016
32,1.12,215807.01,31853.93,103793.02,17607.68,62552.38,51589.2,10963.18,0,conventional,2016
33,1.05,253622.75,55853.79,113811.25,18608.39,65349.32,57141.94,7275.44,931.94,conventional,2016
34,1.04,249786.11,53589.93,112926.95,18934.08,64335.15,52070.2,12264.95,0,conventional,2016
35,1.12,217385.39,31821.2,106492,18456.31,60615.88,48775.07,10957.48,883.33,conventional,2016
36,1.14,212440.76,37150.7,100814.92,17305.85,57169.29,50673.98,5886.98,608.33,conventional,2016
37,1.1,210587.77,39141.6,93571.42,16896.71,60978.04,48991.14,11986.9,0,conventional,2016
38,1.12,192341.67,35648.2,87528.81,14614.66,54550,47755.59,6794.41,0,conventional,2016
39,1.14,189944.6,32857.85,90916.21,15518.85,50651.69,45385.09,5266.6,0,conventional,2016
40,1.15,205367.45,33581.86,101739.82,18631.48,51414.29,45426.62,5987.67,0,conventional,2016
41,1.05,236131.07,39325.69,111943.87,22961.75,61899.76,50889.7,11010.06,0,conventional,2016
42,1.09,208506.12,38805.91,98212.71,21768.74,49718.76,44120.4,5598.36,0,conventional,2016
43,1.05,215161.41,35461.06,106914.98,19046.18,53739.19,43150.21,10588.98,0,conventional,2016
44,1.07,193132.2,36397.39,86393.95,19834.26,50506.6,45927,4579.6,0,conventional,2016
45,1,204110.86,45730.46,87862.03,18323.51,52194.86,44807.51,7387.35,0,conventional,2016
46,0.8,325941.39,63128.71,160544.54,42056.68,60211.46,42529.78,17681.68,0,conventional,2016
47,0.95,214135.89,36408.49,108723.9,25918.83,43084.67,35669.83,7414.84,0,conventional,2016
48,0.92,207961.33,13436.84,110261.96,30644.07,53618.46,42136.65,11481.81,0,conventional,2016
49,0.98,206778.29,29997.79,104174.89,29112.58,43493.03,37725.6,5767.43,0,conventional,2016
50,0.95,196216.36,21275.55,94804.67,29602.84,50533.3,42015.27,8518.03,0,conventional,2016
51,0.96,203961.88,42856.88,87749.01,31682.42,41673.57,38144.36,3529.21,0,conventional,2016
0,1.22,616653.72,67145.99,352087.3,110167.01,87253.42,81570.81,955.34,4727.27,conventional,2016
1,1.18,631117.18,92760.23,363657.94,101491.49,73207.52,65277.81,1065.6,6864.11,conventional,2016
2,1.09,734954.21,84616.3,449932.23,103932.55,96473.13,87751.52,1102.23,7619.38,conventional,2016
3,1.27,624751.15,90157.63,372929.38,94496.12,67168.02,64475.13,621.47,2071.42,conventional,2016
4,1.1,581638.75,151462.15,291205.61,81651.23,57319.76,56501.53,797.78,20.45,conventional,2016
5,1.13,694873.06,134284.88,422382.41,80126.03,58079.74,55015.46,997.51,2066.77,conventional,2016
6,1.82,436710.91,34384.62,265006.85,73021.81,64297.63,63465.65,593.89,238.09,conventional,2016
7,2.07,376476.71,31206.79,224561.79,61665.74,59042.39,57803.54,1095.69,143.16,conventional,2016
8,2.07,375213.57,33564.91,226980.93,60260.53,54407.2,48140.45,1587.11,4679.64,conventional,2016
9,1.84,431274.2,46708.92,251074.82,68234.94,65255.52,55554.23,790,8911.29,conventional,2016
10,1.8,523682.5,52200.02,324240.53,75841.97,71399.98,61522.13,1047.85,8830,conventional,2016
11,1.82,515146.04,40105.31,314006.07,90031.8,71002.86,60216.05,968.89,9817.92,conventional,2016
12,1.83,509215.79,37926.13,311085.71,90495.41,69708.54,58004.41,530.52,11173.61,conventional,2016
13,1.8,553863.82,40600.81,337874.13,98808.73,76580.15,65665.7,744.44,10170.01,conventional,2016
14,1.7,600389.56,74368.62,340540.46,97900.81,87579.67,80619.11,802.22,6158.34,conventional,2016
15,1.67,635036.01,80472.32,355228.95,99520.95,99813.79,97150.37,2084.68,578.74,conventional,2016
16,1.6,670453.42,77981.63,415924.58,91323.75,85223.46,82376.72,2320.05,526.69,conventional,2016
17,1.6,621715.78,54971.17,373442.31,93288.97,100013.33,92533.97,4244.28,3235.08,conventional,2016
18,1.63,628099.41,62002.43,372918.48,87449.64,105728.86,102613.78,1582.1,1532.98,conventional,2016
19,1.67,626086.69,49617,371087.23,102966.19,102416.27,99833.21,2139.33,443.73,conventional,2016
20,1.68,644670.46,40121.11,385923.6,103402.88,115222.87,113969.56,262.16,991.15,conventional,2016
21,1.68,614939.39,38275.52,373205.75,97843.18,105614.94,104111.58,317.97,1185.39,conventional,2016
22,1.66,658913.69,42452.5,386821.79,109032.48,120606.92,113683.42,1819.86,5103.64,conventional,2016
23,1.51,717279.19,43789.6,425776.15,108230.65,139482.79,122026.18,12735.54,4721.07,conventional,2016
24,1.53,712080.66,52540.83,381030.54,150963.07,127546.22,118624.54,1894.09,7027.59,conventional,2016
25,1.23,974278.32,55651.48,584813.49,184518.62,149294.73,143295.47,378.93,5620.33,conventional,2016
26,1.18,860170.92,80280.37,499474.39,159812.33,120603.83,115880.76,457.23,4265.84,conventional,2016
27,1.2,882074.39,64899.84,550499.79,163027.81,103646.95,99766,1867.44,2013.51,conventional,2016
28,1.3,770843.17,50498.4,478335.91,140924.68,101084.18,98096.94,2213.29,773.95,conventional,2016
29,1.2,885602.82,31728.98,606701.67,145606.57,101565.6,96845.23,3216.39,1503.98,conventional,2016
30,1.15,958566.68,36554.49,642857.54,145363.84,133790.81,129034.96,3359.7,1396.15,conventional,2016
31,1.11,903864.9,36568.67,592064.53,145104.44,130127.26,121785.52,6544.59,1797.15,conventional,2016
32,1.04,930403.37,49039.58,609294.15,157984.71,114084.93,108571.35,4797.75,715.83,conventional,2016
33,0.97,974740.13,43166.45,612339.89,173293.69,145940.1,137880.91,4997.64,3061.55,conventional,2016
34,1,890281.5,39249.49,587919.1,155289.67,107823.24,101940.66,4166.66,1715.92,conventional,2016
35,1.08,879308.05,34134.42,592370.7,151281.44,101521.49,96823.55,4684.93,13.01,conventional,2016
36,1.08,913421.8,47878.48,619840.15,137009.63,108693.54,101842.17,4806.9,2044.47,conventional,2016
37,1.11,770661.72,49679.26,464981.98,153441.58,102558.9,91081.44,9926.52,1550.94,conventional,2016
38,1.15,712210.03,36211.71,457314.18,139240.25,79443.89,75467.12,3947.19,29.58,conventional,2016
39,0.9,865585.06,33748.25,600796.46,131467.33,99573.02,95288.6,4221.71,62.71,conventional,2016
40,1.11,770557.34,36017.62,514604.02,122807.96,97127.74,93973.32,3147.06,7.36,conventional,2016
41,1,823796.56,39540.49,569733.57,125901.94,88620.56,86428.9,2191.66,0,conventional,2016
42,1.13,809325.93,35309.42,557026.92,129160.06,87829.53,85606.7,2222.83,0,conventional,2016
43,1.15,780951.86,32414.21,522790.14,133067.18,92680.33,90777.56,1902.77,0,conventional,2016
44,1.09,752336.04,39220.29,483562.05,125838.6,103715.1,93141.66,10558.8,14.64,conventional,2016
45,1,803120.71,45558.04,501188.76,131202.78,125171.13,106296.76,18322.72,551.65,conventional,2016
46,0.82,1134049.22,68454.39,758581.79,155377.3,151635.74,129791.42,21748.61,95.71,conventional,2016
47,1.12,774091.49,35213.93,512608.82,132958.04,93310.7,92124.35,1186.35,0,conventional,2016
48,1.01,794029.7,23862.94,543471.49,136033.93,90661.34,88261.04,2400.3,0,conventional,2016
49,1.11,778412.5,35099.73,500623.85,139309.53,103379.39,87560.47,15802.25,16.67,conventional,2016
50,1.08,844277.25,44289.03,534404.57,143202.95,122380.7,82670.76,39333.27,376.67,conventional,2016
51,0.93,1009667.15,77301.31,656386.69,162054.24,113924.91,80769.55,21615.36,11540,conventional,2016
0,0.82,276387.95,2168.67,102227.29,970.48,171021.51,26984.7,144036.81,0,conventional,2016
1,0.99,216881.3,2279.61,100542.31,1472.39,112586.99,23082.87,89485.68,18.44,conventional,2016
2,0.77,268166.21,2474.73,101664.01,753.56,163273.91,21944.83,141290.54,38.54,conventional,2016
3,0.7,356617.38,2443.73,132792.54,2845.22,218535.89,24193.8,194318.91,23.18,conventional,2016
4,1.09,183176.26,1811.14,75977.47,690.05,104697.6,19930.04,84702.28,65.28,conventional,2016
5,0.98,242174.1,2013.39,85407.77,853.46,153899.48,23679.23,130220.25,0,conventional,2016
6,1.07,249072.9,2998.06,92084.04,899.73,153091.07,23980.47,129104.39,6.21,conventional,2016
7,1.08,239233.63,2895.96,91902.63,1003.69,143431.35,16151.12,127193.62,86.61,conventional,2016
8,1.02,241671.24,2125.55,89381.04,841.37,149323.28,11631.4,137691.88,0,conventional,2016
9,0.96,273804,2790.12,94637.5,1181.38,175195,18785.57,156407.87,1.56,conventional,2016
10,1.07,246801.93,6797.94,89324.91,1275.42,149403.66,32352.58,117051.08,0,conventional,2016
11,1.01,276819.57,3166.45,100995.03,1223.02,171435.07,21810.18,149624.89,0,conventional,2016
12,1.03,280396.12,3206.27,105492.75,1380.85,170316.25,22840.83,147472.29,3.13,conventional,2016
13,1.09,268805.44,3821.72,112149.61,1396.32,151437.79,23812.95,127624.84,0,conventional,2016
14,0.96,288857.14,6195.29,112907.19,1335.29,168419.37,30495.85,137923.52,0,conventional,2016
15,1.04,266719.89,5370.62,122058.81,1567.4,137723.06,29123.32,108519.74,80,conventional,2016
16,1.12,252059.32,3789.59,117600.22,2099.28,128570.23,25361.2,102794.03,415,conventional,2016
17,1.13,259143.06,3862.97,126642.16,1683.71,126954.22,27933.66,97229.69,1790.87,conventional,2016
18,1.07,256195.06,3838.13,118303.09,1922.26,132131.58,28706.18,102390.4,1035,conventional,2016
19,1.03,274249.98,4691,125988.41,2661.69,140908.88,35321.59,105549.16,38.13,conventional,2016
20,1.03,266196.06,5244.48,130022.01,3143.09,127786.48,27221.7,100553.51,11.27,conventional,2016
21,1.07,254689.93,4322.1,129945.29,3804.63,116617.91,27836.86,88090.7,690.35,conventional,2016
22,1.1,264194.71,4346.75,133484.48,7052.87,119310.61,25436.76,89695.64,4178.21,conventional,2016
23,1.05,280542.19,5441.72,136098.54,6998.74,132003.19,25789.15,101973.21,4240.83,conventional,2016
24,1.06,266811.55,4664.36,149184.73,6514.15,106448.31,23189.21,78560.24,4698.86,conventional,2016
25,0.84,330182.4,4595.22,168217.2,6496.41,150873.57,28096.15,118272.52,4504.9,conventional,2016
26,0.92,280229.89,4553.86,161667.16,9805.14,104203.73,24577.2,75549.11,4077.42,conventional,2016
27,0.91,311127.56,7033.21,154162.39,14007.18,135924.78,25143.66,105248.43,5532.69,conventional,2016
28,1.05,237773.53,7943.24,149994.79,7051.08,72784.42,23417.1,46347.93,3019.39,conventional,2016
29,0.85,310345.06,4642.74,174172.12,23750.21,107779.99,19176.89,81916.42,6686.68,conventional,2016
30,0.84,268328.36,4644.3,164356.12,7148.83,92179.11,20884.04,69163.08,2131.99,conventional,2016
31,0.82,250387.73,4092.03,144150.98,6810.54,95334.18,18281.32,74251.91,2800.95,conventional,2016
32,0.88,250333.08,3505.82,151116.33,21963.46,73747.47,14077.5,53944.28,5725.69,conventional,2016
33,0.86,314243.15,4411.26,183121.83,17789.78,108920.28,17361.66,87869.71,3688.91,conventional,2016
34,0.94,233581,4132.98,156007.26,9601.89,63838.87,17965.35,44324,1549.52,conventional,2016
35,0.94,218247.37,4307.62,141433.59,9484.48,63021.68,19112.22,41934.57,1974.89,conventional,2016
36,0.93,228211.44,3369.9,141000.09,25464.3,58377.15,16055.57,36551.04,5770.54,conventional,2016
37,0.89,210309.77,4234.86,125252.7,8960.13,71862.08,21423.87,49093.66,1344.55,conventional,2016
38,0.89,191169.34,3481.07,109917.36,10846.9,66924.01,13780.66,50468.58,2674.77,conventional,2016
39,0.9,225485.9,3097.47,131467.29,16191.17,74729.97,18832.18,52163.65,3734.14,conventional,2016
40,0.9,224942.74,3139.27,132074.69,16430.07,73298.71,18928.9,50472.61,3897.2,conventional,2016
41,0.88,210904.76,3172.25,126850.83,7482.64,73399.04,19111.28,52395.6,1892.16,conventional,2016
42,0.85,234512.25,3704.39,129150.5,24314.72,77342.64,17632.22,54219.12,5491.3,conventional,2016
43,0.87,227593.54,4252.39,129161.49,16207.08,77972.58,18382.22,56152.18,3438.18,conventional,2016
44,0.86,190349.58,3480.46,117328.79,5551.81,63988.52,17167.72,45673.76,1147.04,conventional,2016
45,0.86,229211.34,3898.22,144374.76,8008.86,72929.5,18358.96,53192.11,1378.43,conventional,2016
46,0.81,302337.87,4898.28,177380.94,30149.6,89909.05,22076.72,61180.85,6651.48,conventional,2016
47,0.94,203005.7,3261.74,133276.52,12917.42,53550.02,16807.25,33496.41,3246.36,conventional,2016
48,0.89,252317.23,1985.08,155256.89,23681.24,71394.02,19633.53,47199.01,4561.48,conventional,2016
49,0.86,228860.79,3683.42,142145.57,7457.43,75574.37,20728.35,53232.61,1613.41,conventional,2016
50,0.92,218906.82,3115.25,151374.26,7200.14,57217.17,17942.34,37684.81,1590.02,conventional,2016
51,0.9,222534.76,2730.97,149327.89,18924.91,51550.99,12613.38,29550.02,9387.59,conventional,2016
0,1.07,136733.12,54284.13,24334.73,1538.2,56576.06,55083.7,1459.35,33.01,conventional,2016
1,1.06,131322.27,55604.5,31791.33,2522.96,41403.48,38839.35,2461.41,102.72,conventional,2016
2,0.98,144354.95,79158.83,19836.1,1302.46,44057.56,41890.61,2155.38,11.57,conventional,2016
3,0.84,237639.3,108397.57,42477.66,5532.03,81232.04,76008.08,5158.75,65.21,conventional,2016
4,1.1,134305.97,58518.04,19133.76,1296.49,55357.68,53684.96,1671.27,1.45,conventional,2016
5,1.33,117299.16,50017.12,21270.55,1335.91,44675.58,43073.72,1601.86,0,conventional,2016
6,1.38,116814.65,52996.11,26129.41,1460.24,36228.89,34146.46,2082.43,0,conventional,2016
7,1.41,114207.94,55230.85,23397.14,1603.54,33976.41,32556.59,1419.82,0,conventional,2016
8,1.1,138565.73,75422.45,16016.58,1373.56,45753.14,43902.77,1850.37,0,conventional,2016
9,1.11,156831.11,84696.78,21559.06,1763.25,48812.02,46730.56,2081.46,0,conventional,2016
10,1.31,123388.77,53963.92,22128.29,1875.36,45421.2,43150.55,2270.65,0,conventional,2016
11,1.33,120833.05,55586.23,23318.96,1900.96,40026.9,36596.53,3430.37,0,conventional,2016
12,1.3,123300.36,54053.13,25747.7,2077.48,41422.05,36952.51,4469.54,0,conventional,2016
13,1.14,151978.88,70129.37,37333.99,2426.04,42089.48,41377.97,711.51,0,conventional,2016
14,1.07,167438.32,85331.98,26634.72,2505.47,52966.15,51334.31,1631.84,0,conventional,2016
15,1.06,177299.48,89423.71,25412.5,2345.13,60118.14,58343.14,1755,20,conventional,2016
16,1.06,161362.24,73011.64,29161.53,2616.16,56572.91,55935.18,466.29,171.44,conventional,2016
17,1.07,168757.98,71113.29,34419.8,2593.07,60631.82,57069.78,1842.04,1720,conventional,2016
18,1.2,154116.71,69616.32,33284.86,2841.74,48373.79,42940.86,4122.93,1310,conventional,2016
19,1.17,166462.83,71827.16,34064.69,3156.71,57414.27,53549.37,3864.9,0,conventional,2016
20,1.18,164281.56,70942.5,37215.94,3955.17,52167.95,38682.96,13474.99,10,conventional,2016
21,1.21,153804.34,71526.03,31744.13,4294.96,46239.22,38377.9,7260.37,600.95,conventional,2016
22,1.15,173335.16,73713.02,34227.26,6083.87,59311.01,46627.28,8564.06,4119.67,conventional,2016
23,1.18,160413.49,69177.04,38319.06,6345.7,46571.69,38846.97,2931.27,4793.45,conventional,2016
24,1.06,170762.71,80019.89,36096.76,5812.55,48833.51,32848.9,11536.73,4447.88,conventional,2016
25,0.94,234975.32,118888.22,38361.79,6699.07,71026.24,62163.78,4656.27,4206.19,conventional,2016
26,1.04,201923.72,99552.74,37201.77,10852.83,54316.38,45985.7,4847.72,3482.96,conventional,2016
27,1.13,172220.11,64425.61,36827.16,15000.42,55966.92,45124.02,6081.41,4761.49,conventional,2016
28,1.13,163638.65,65443.12,32052.99,8090.3,58052.24,49307.2,6081.58,2663.46,conventional,2016
29,1.07,175046.12,62727.64,38734.74,25833.35,47750.39,35846.32,6408.19,5495.88,conventional,2016
30,0.93,201747.62,95063.05,36787.21,7985.33,61912.03,53230.25,6885.94,1795.84,conventional,2016
31,0.83,210263.7,105959.95,37763.5,6777.98,59762.27,48049.79,9991.52,1720.96,conventional,2016
32,0.84,202002,76164.88,47725.96,21036.66,57074.5,33941.16,18532.83,4600.51,conventional,2016
33,0.9,201205.97,90444.73,46435.26,19164.46,45161.52,26507.5,15137.8,3516.22,conventional,2016
34,0.71,224515.48,111020.2,47074.43,9592.54,56828.31,48051.43,7485.91,1290.97,conventional,2016
35,0.72,242277.45,132004.8,35758.91,10151.42,64362.32,54682.15,8238.93,1441.24,conventional,2016
36,0.97,172183.83,56381.07,48784.24,27374.63,39643.89,27199.14,7590.56,4854.19,conventional,2016
37,0.96,135905.09,57345.34,27302.54,9075.23,42181.98,31689.31,9453.96,1038.71,conventional,2016
38,0.95,147520.15,50791.46,28964.32,21041.99,46722.38,22994.03,21163.82,2564.53,conventional,2016
39,1.01,153523.03,46922.11,32127.84,29363.76,45109.32,21567.71,20098.73,3442.88,conventional,2016
40,1.04,152572.16,46047.38,35537.84,28532.36,42454.58,22445.88,16153.49,3855.21,conventional,2016
